Индекс(i)	Узел(xi)	Числ.реш(vi)	Точн.реш(ui)	Погрешность|vi-ui|	Невязка(ri)
101	0.0986328125	10.8755588532	10.8755588531	0.0000000000	0.0000000298
102	0.0996093750	10.8929824829	10.8929824829	0.0000000000	0.0000000298
103	0.1005859375	10.9105777740	10.9105777740	0.0000000000	0.0000000298
104	0.1015625000	10.9283447266	10.9283447266	0.0000000000	0.0000000298
105	0.1025390625	10.9462833405	10.9462833405	0.0000000000	0.0000000000
106	0.1035156250	10.9643936157	10.9643936157	0.0000000000	0.0000000000
107	0.1044921875	10.9826755524	10.9826755524	0.0000000000	0.0000000000
108	0.1054687500	11.0011291504	11.0011291504	0.0000000000	0.0000000000
109	0.1064453125	11.0197544098	11.0197544098	0.0000000000	0.0000000000
110	0.1074218750	11.0385513306	11.0385513306	0.0000000000	0.0000000000
111	0.1083984375	11.0575199127	11.0575199127	0.0000000000	0.0000000596
112	0.1093750000	11.0766601563	11.0766601562	0.0000000000	0.0000000000
113	0.1103515625	11.0959720612	11.0959720612	0.0000000000	0.0000000298
114	0.1113281250	11.1154556274	11.1154556274	0.0000000000	0.0000000298
115	0.1123046875	11.1351108551	11.1351108551	0.0000000000	0.0000000298
116	0.1132812500	11.1549377441	11.1549377441	0.0000000000	0.0000000000
117	0.1142578125	11.1749362946	11.1749362946	0.0000000000	0.0000000000
118	0.1152343750	11.1951065063	11.1951065063	0.0000000000	0.0000000000
119	0.1162109375	11.2154483795	11.2154483795	0.0000000000	0.0000000000
120	0.1171875000	11.2359619141	11.2359619141	0.0000000000	0.0000000000
121	0.1181640625	11.2566471100	11.2566471100	0.0000000000	0.0000000000
122	0.1191406250	11.2775039673	11.2775039673	0.0000000000	0.0000000000
123	0.1201171875	11.2985324860	11.2985324860	0.0000000000	0.0000000298
124	0.1210937500	11.3197326660	11.3197326660	0.0000000000	0.0000000298
125	0.1220703125	11.3411045074	11.3411045074	0.0000000000	0.0000000000
126	0.1230468750	11.3626480103	11.3626480103	0.0000000000	0.0000000298
